epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.818,0.49558,3.01399,1.164,0.41657,0.0366,0.22007,0.20269,0.47045,3.40256,0.84227,0.000327869,0.000327869,0.000327869
2,701.997,0.24301,2.26408,0.96025,0.16576,1,0.22844,0.22103,0.29044,3.18149,0.65868,0.00064811,0.00064811,0.00064811
3,997.388,0.22828,2.06972,0.94331,0.16565,1,0.23816,0.23619,0.1984,2.51679,0.51908,0.000955152,0.000955152,0.000955152
4,1321.36,0.20359,1.97122,0.93207,0.1663,1,0.22342,0.22069,0.2103,2.31308,0.49516,0.0009406,0.0009406,0.0009406
5,1640.11,0.19702,1.9015,0.92188,0.16608,1,0.19615,0.19439,0.20876,2.21157,0.50934,0.0009208,0.0009208,0.0009208
6,1933.87,0.17512,1.83781,0.9106,0.16613,1,0.21473,0.21473,0.15815,2.13363,0.45618,0.000901,0.000901,0.000901
7,2221.91,0.16285,1.8023,0.91272,0.16579,1,0.2258,0.2258,0.15425,2.07981,0.48835,0.0008812,0.0008812,0.0008812
8,2523.06,0.1536,1.74489,0.91042,0.16597,1,0.21888,0.21888,0.1658,2.0221,0.46545,0.0008614,0.0008614,0.0008614
9,2833.22,0.14402,1.72513,0.8971,0.16611,1,0.21885,0.21885,0.194,1.93728,0.49647,0.0008416,0.0008416,0.0008416
10,3128.41,0.1468,1.69553,0.89966,0.166,1,0.20616,0.20557,0.21068,1.90978,0.5181,0.0008218,0.0008218,0.0008218
11,3450.22,0.13711,1.67648,0.89807,0.1657,1,0.24793,0.24793,0.18448,1.86822,0.49377,0.000802,0.000802,0.000802
12,3782.04,0.12983,1.65953,0.89804,0.16624,1,0.28634,0.28634,0.19261,1.87422,0.4832,0.0007822,0.0007822,0.0007822
13,4237.9,0.13148,1.63387,0.89386,0.16584,1,0.219,0.219,0.17836,1.81105,0.49935,0.0007624,0.0007624,0.0007624
14,4533.57,0.12248,1.62476,0.89804,0.16601,1,0.24725,0.24725,0.12346,1.77442,0.423,0.0007426,0.0007426,0.0007426
15,4819.67,0.11475,1.61707,0.89041,0.16598,1,0.22463,0.22463,0.13885,1.75438,0.43709,0.0007228,0.0007228,0.0007228
16,5168.78,0.11026,1.60818,0.88916,0.16583,1,0.26772,0.26772,0.12804,1.76885,0.42506,0.000703,0.000703,0.000703
17,5613.16,0.10352,1.59788,0.89456,0.16602,1,0.23019,0.23019,0.15377,1.7116,0.4453,0.0006832,0.0006832,0.0006832
18,6009.33,0.10714,1.59713,0.89316,0.16573,1,0.24436,0.24436,0.16139,1.73021,0.46125,0.0006634,0.0006634,0.0006634
19,6328.1,0.10165,1.5823,0.88492,0.16581,1,0.21848,0.21761,0.18524,1.69503,0.49083,0.0006436,0.0006436,0.0006436
20,6667.27,0.10202,1.57945,0.89094,0.16626,1,0.26748,0.26748,0.10558,1.67882,0.40644,0.0006238,0.0006238,0.0006238
21,6999.25,0.09957,1.57658,0.88729,0.16592,1,0.24138,0.24138,0.1212,1.71218,0.41497,0.000604,0.000604,0.000604
22,7456.3,0.09711,1.56761,0.88804,0.16594,1,0.21891,0.21891,0.14628,1.66684,0.44772,0.0005842,0.0005842,0.0005842
